image_name,hue,saturation,value,body_proportion_1,body_proportion_2,body_proportion_3
10000.jpg,11.898305084745763,104.55296610169492,192.99364406779662,0.67097855,1.7202001,0.5984517
10001.jpg,11.54575707154742,112.07321131447587,187.14642262895174,0.61249137,1.8599877,0.6201584
10002.jpg,11.737547892720306,108.5,189.9406130268199,0.6257507,1.639355,0.61510044
10003.jpg,11.342379958246346,103.90605427974947,194.44050104384132,0.6398759,1.5607768,0.60980225
10006.jpg,11.283372365339579,120.67213114754098,174.47306791569088,0.6503584,1.9203194,0.605929
10007.jpg,10.677777777777779,119.6388888888889,170.9777777777778,0.7059713,1.6905041,0.58617634
10009.jpg,10.42809364548495,133.43478260869566,164.8561872909699,0.62401855,2.3928597,0.6157565
10010.jpg,10.945652173913043,123.52717391304347,166.85326086956522,0.7404474,1.7586347,0.5745649
10013.jpg,10.697329376854599,124.45400593471811,170.45103857566767,0.6462096,2.2778804,0.6074561
10021.jpg,10.1875,83.14182692307693,183.7716346153846,0.63341665,1.5604041,0.6122136
10026.jpg,9.731770833333332,88.84895833333333,185.359375,0.61982363,1.3849798,0.6173511
10029.jpg,14.16860465116279,87.67054263565892,222.35077519379846,0.6862384,1.7153059,0.593036
10034.jpg,13.279843444227005,83.93737769080235,218.94520547945206,0.6974685,1.6963962,0.5891125
10039.jpg,13.364937388193201,90.78175313059035,214.6046511627907,0.7240064,1.7793735,0.5800442
1004.jpg,10.71934604904632,120.10354223433242,164.90463215258856,0.607207,1.7985212,0.6221974
10041.jpg,9.511111111111111,91.31944444444444,149.1,0.6604669,1.7186167,0.60224026
10045.jpg,11.556354916067146,106.68585131894484,188.32374100719423,0.5264174,1.8190569,0.6551288
10048.jpg,12.186274509803921,112.53725490196078,192.54901960784312,0.63525534,1.1995769,0.6115253
10052.jpg,10.730125523012552,101.14853556485355,184.81380753138075,0.6776852,1.798299,0.5960594
10053.jpg,12.410550458715598,122.72018348623854,186.49082568807341,0.69507104,1.6121625,0.58994573
10054.jpg,12.133333333333333,128.15632183908045,182.27816091954023,0.62724704,1.5312192,0.6145348
10055.jpg,12.401425178147269,135.17102137767222,182.16389548693587,0.6809756,2.513355,0.5948926
10062.jpg,11.226519337016574,99.4696132596685,198.14364640883977,0.6667443,1.6381791,0.59997207
10063.jpg,11.13953488372093,103.07751937984497,198.15503875968994,0.55174726,1.7803758,0.64443487
10064.jpg,11.156962025316457,109.14430379746835,199.08860759493672,0.60190475,1.9228454,0.62425685
10067.jpg,10.97134670487106,118.51289398280802,158.74498567335243,0.55440533,1.6738505,0.64333284
10074.jpg,13.983870967741936,82.3225806451613,206.5456989247312,0.6568412,1.7490686,0.6035581
10079.jpg,11.567430025445294,121.1526717557252,173.28244274809163,0.6293739,1.7576163,0.6137327
10083.jpg,11.272486772486772,137.05820105820106,162.54232804232802,0.60513186,1.6747055,0.62300175
10087.jpg,11.40733197556008,135.59470468431772,163.1894093686354,0.63120264,1.8365706,0.6130446
10089.jpg,11.48895292987512,127.61863592699328,169.26705091258404,1.2969971,1.8937703,0.435351
10091.jpg,11.290697674418604,135.95348837209303,159.22868217054264,0.65778136,1.762266,0.6032159
10095.jpg,11.46135831381733,108.83138173302108,191.88290398126463,0.6468878,1.7294971,0.60720587
10098.jpg,10.443298969072165,97.8487972508591,199.58419243986253,0.6600487,1.6680206,0.6023919
1010.jpg,10.748837209302325,118.88604651162791,189.17441860465115,0.63249296,1.740097,0.61256003
10102.jpg,10.886746987951808,109.82650602409639,188.63855421686748,0.70891374,1.580027,0.58516705
10104.jpg,10.226744186046512,96.81976744186046,195.15116279069767,0.61378485,1.5286314,0.6196613
10107.jpg,10.862573099415204,108.35380116959064,191.7953216374269,0.6710881,1.7122797,0.5984125
10110.jpg,11.56997455470738,111.117048346056,212.3613231552163,0.5968535,1.7116793,0.62623155
10111.jpg,11.216091954022989,105.06206896551724,222.88045977011495,0.63785595,1.5974967,0.61055434
10112.jpg,10.893181818181818,80.73409090909091,237.23863636363635,0.661407,1.7018843,0.60189945
10114.jpg,10.87608069164265,112.05763688760806,183.4121037463977,0.71760505,2.0001469,0.582206
10116.jpg,11.302540415704387,126.76674364896074,171.39030023094688,0.73545927,1.7075596,0.5762164
10119.jpg,11.030947775628627,122.84332688588007,172.11992263056092,0.6732684,1.7889471,0.59763277
10120.jpg,11.191304347826087,112.9,183.00652173913045,0.76404464,1.3034258,0.5668791
10124.jpg,9.783783783783784,92.69041769041769,173.71744471744472,0.6187303,1.690704,0.61776817
10126.jpg,9.865753424657534,120.05205479452054,151.93698630136987,0.6731772,1.6494613,0.59766537
10128.jpg,11.87135922330097,87.06553398058252,205.41990291262135,0.5487548,1.960526,0.64568
10129.jpg,11.51338199513382,92.42335766423358,204.00486618004868,0.6600798,1.630772,0.6023807
1013.jpg,11.350383631713555,95.57289002557546,161.7007672634271,0.5402225,1.6872197,0.6492568
10132.jpg,11.393203883495145,104.58252427184465,168.002427184466,0.65048784,1.5533073,0.60588145
10137.jpg,11.441747572815533,102.7014563106796,190.86407766990288,0.7116104,1.5184877,0.5842451
10142.jpg,8.313868613138686,101.17518248175183,130.2360097323601,0.5920667,1.4553915,0.6281144
10143.jpg,9.088957055214724,113.92638036809817,133.90184049079755,0.56722176,1.2502259,0.6380718
10150.jpg,9.420062695924765,102.18495297805642,160.30094043887146,0.7907098,1.7593261,0.5584378
10153.jpg,10.73404255319149,101.93617021276596,170.625,0.61838746,1.7148215,0.617899
10156.jpg,10.677033492822966,106.17464114832535,166.34449760765548,0.6617752,1.6298444,0.6017661
10162.jpg,10.621686746987953,114.30602409638556,170.00000000000003,0.5755988,1.6205908,0.6346793
10164.jpg,10.61050328227571,109.23851203501094,174.5776805251641,0.65931225,1.661506,0.60265934
10165.jpg,10.712962962962962,107.625,200.79166666666666,0.7136911,0.93224186,0.58353573
10166.jpg,10.985743380855396,101.42566191446028,196.25458248472503,0.6395311,1.1468537,0.60993046
10167.jpg,10.490384615384617,107.35336538461539,177.04326923076923,0.65484554,1.5954666,0.604286
10168.jpg,10.583554376657824,113.73209549071618,184.04244031830237,0.6100913,1.1912858,0.6210828
10169.jpg,10.758536585365853,115.65609756097561,170.48536585365855,0.6130461,1.1817968,0.6199451
1017.jpg,11.266219239373601,106.51454138702461,179.97539149888144,0.56280744,1.6795405,0.63987416
10173.jpg,13.44885177453027,119.05845511482254,191.27766179540708,0.5617333,1.716724,0.64031416
10177.jpg,7.8379204892966365,121.69418960244649,153.54434250764527,0.6513691,1.5254683,0.6055581
10178.jpg,8.39939024390244,115.7439024390244,154.88719512195124,0.61926234,1.4453646,0.61756516
10181.jpg,10.344110854503464,121.69515011547344,164.0692840646651,0.6821954,1.696387,0.59446126
10183.jpg,10.090673575129534,114.59067357512954,167.21243523316062,0.5710728,1.6201957,0.6365077
10184.jpg,10.909307875894989,94.3436754176611,196.93556085918854,0.6306759,1.3168815,0.6132427
10185.jpg,10.11764705882353,126.44117647058825,154.33936651583713,0.6562107,1.0342917,0.6037879
10186.jpg,10.563829787234043,128.4063829787234,171.93829787234043,0.589413,1.7062235,0.6291631
10187.jpg,10.821637426900585,95.64327485380116,202.13450292397658,0.48224947,2.0090296,0.67465025
10188.jpg,13.172566371681416,86.30088495575221,212.9646017699115,0.56341666,1.9446905,0.6396247
10189.jpg,12.5939226519337,80.83149171270718,218.89226519337015,0.6024872,0.92208695,0.62402993
102.jpg,10.489260143198091,99.9236276849642,168.87112171837708,0.66757846,1.6787423,0.59967196
1020.jpg,11.298093587521663,116.67244367417678,185.4956672443674,0.6107003,1.5500581,0.62084794
1025.jpg,11.624,130.0,165.804,0.53927505,1.6253641,0.6496565
1028.jpg,11.43478260869565,119.35403726708074,173.92857142857142,0.5095852,1.5800914,0.6624337
1032.jpg,10.00287356321839,113.08908045977012,174.82758620689654,0.57939315,1.7213063,0.6331546
1039.jpg,10.079611650485436,100.41747572815534,163.7242718446602,0.5825152,1.7611123,0.63190544
1042.jpg,11.276649746192893,107.47715736040608,189.43654822335023,0.630596,1.6973592,0.6132727
1047.jpg,11.068,114.412,174.526,0.7132264,1.5933839,0.583694
105.jpg,11.671259842519685,109.27165354330708,174.63188976377953,0.6288031,1.5615518,0.61394775
1051.jpg,9.526143790849673,138.7516339869281,170.18954248366015,0.603616,1.6777468,0.6235907
1055.jpg,10.605363984674328,133.91570881226053,169.56704980842912,0.57569426,1.6859643,0.6346409
1060.jpg,11.428879310344827,99.68318965517241,176.35344827586206,0.5281624,1.6610862,0.65438074
1063.jpg,12.033755274261603,112.01265822784809,171.03164556962025,0.55708915,1.5874845,0.64222395
1074.jpg,10.678571428571427,94.84183673469387,201.96683673469386,0.6727095,1.8372732,0.5978324
1076.jpg,10.070588235294117,99.65882352941176,178.94117647058823,0.523024,1.6642209,0.65658844
1080.jpg,11.455737704918032,124.32131147540984,188.21311475409837,0.5878472,2.0082397,0.6297835
1084.jpg,10.44712990936556,99.23867069486406,198.1178247734139,0.55442697,1.7944303,0.64332384
1088.jpg,10.623949579831931,129.25840336134453,171.23739495798318,0.57339865,1.8129511,0.63556683
1092.jpg,10.287958115183248,95.4476439790576,201.56544502617803,0.50347555,1.7884159,0.66512555
1095.jpg,10.801941747572815,125.25825242718446,173.33592233009708,0.52425367,1.8064387,0.6560588
1098.jpg,10.5,126.03754940711461,170.62648221343872,0.5877199,1.7556354,0.62983406
11.jpg,10.033039647577093,118.6387665198238,174.77312775330398,0.6293122,1.6269788,0.6137559
1100.jpg,11.41014799154334,120.58562367864694,185.169133192389,0.6761354,1.7230276,0.59661055
1108.jpg,12.464761904761906,101.15047619047618,198.50857142857143,0.66721016,1.6938926,0.5998044
1113.jpg,10.492788461538462,112.48557692307693,177.9471153846154,0.5592479,1.5506276,0.64133483
1116.jpg,10.295977011494253,119.40229885057471,163.74137931034483,0.5554841,1.917335,0.64288664
1119.jpg,10.830734966592427,116.54120267260579,167.9153674832962,0.55919254,1.7310427,0.6413576
1124.jpg,12.209580838323355,98.78443113772455,195.69161676646706,0.5609047,1.6200539,0.64065415
1126.jpg,10.50137741046832,95.70798898071625,193.79063360881543,0.6201735,1.648864,0.61721784
1133.jpg,12.18640776699029,132.4388349514563,183.252427184466,0.69283134,1.5852876,0.59072626
1136.jpg,10.553571428571429,103.61904761904762,169.55357142857142,0.62091464,1.6674232,0.6169356
1142.jpg,11.644351464435145,128.0941422594142,170.23430962343096,0.5788359,1.8851888,0.633378
1149.jpg,10.384039900249377,147.71072319201994,141.4788029925187,0.68418455,1.6326991,0.5937592
1153.jpg,10.578034682080924,125.86705202312137,168.43641618497108,0.68557364,1.8702314,0.5932699
1157.jpg,13.420345489443378,105.15930902111324,192.7197696737044,0.6254749,1.5343609,0.6152048
116.jpg,9.741463414634147,89.89512195121951,187.90975609756097,0.54740715,1.7693276,0.6462423
1162.jpg,11.888535031847134,96.81210191082803,182.28662420382167,0.55189615,1.8931315,0.644373
1166.jpg,11.901369863013699,100.69589041095891,166.586301369863,0.5104355,1.7622004,0.66206074
1170.jpg,11.26338329764454,137.8865096359743,165.5610278372591,0.6241162,1.4522226,0.6157195
1174.jpg,10.545454545454545,128.1038961038961,152.08051948051948,0.68114895,1.6907936,0.5948313
1175.jpg,10.041237113402062,114.36855670103093,163.55670103092783,0.6149279,1.6884948,0.6192227
1181.jpg,11.617571059431524,128.11111111111111,194.06459948320415,0.6358085,1.7648542,0.61131847
